customer_id,first_name,last_name,email,phone,gender,age,region_id,registration_date
CUS076,Nisha,Verma,nisha.verma37@gmail.com,8851453046,Female,52,R005,2022-12-14
CUS077,Ajay,Yadav,ajay.yadav6@gmail.com,9323638223,Male,47,R005,2022-08-04
CUS078,Sanjay,Sharma,sanjay.sharma57@gmail.com,7142947101,Male,40,R001,2025-09-28
CUS079,Prakash,Nair,prakash.nair14@gmail.com,8944505568,Male,58,R001,2023-06-28
CUS080,Vijay,Reddy,vijay.reddy4@gmail.com,9426852506,Male,20,R003,2022-12-28
CUS081,Manoj,Chopra,manoj.chopra89@gmail.com,9760796673,Male,28,R005,2025-06-16
CUS082,Ravi,Joshi,ravi.joshi38@gmail.com,8892184225,Male,19,R003,2022-07-27
CUS083,Anil,Nair,anil.nair53@gmail.com,7629344716,Male,44,R001,2025-06-22
CUS084,Bhavana,Patel,bhavana.patel2@gmail.com,9128010445,Female,19,R001,2022-06-22
CUS085,Rakesh,Nair,rakesh.nair66@gmail.com,7102572987,Male,54,R002,2022-04-03
CUS086,Pankaj,Ghosh,pankaj.ghosh7@gmail.com,8661987891,Male,47,R001,2023-08-01
CUS087,Komal,Iyer,komal.iyer60@gmail.com,9821073835,Female,33,R005,2024-09-11
CUS088,Nisha,Khan,nisha.khan68@gmail.com,9699577575,Female,47,R001,2022-09-03
CUS089,Rajesh,Nair,rajesh.nair74@gmail.com,7327891792,Male,22,R003,2023-06-15
CUS090,Anjali,Mishra,anjali.mishra8@gmail.com,9390849367,Female,54,R001,2024-11-19
CUS091,Amit,Mishra,amit.mishra8@gmail.com,8596941450,Male,48,R001,2023-04-15
CUS092,Kiran,Gupta,kiran.gupta75@gmail.com,8926337669,Male,42,R001,2023-09-05
CUS093,Suresh,Singh,suresh.singh54@gmail.com,7244161300,Male,29,R005,2024-05-17
CUS094,Pankaj,Kulkarni,pankaj.kulkarni78@gmail.com,9218563039,Male,38,R004,2022-01-08
CUS095,Pankaj,Desai,pankaj.desai75@gmail.com,9265291433,Male,26,R004,2024-06-09
CUS096,Rajesh,Nair,rajesh.nair53@gmail.com,7502267840,Male,48,R002,2025-08-08
CUS097,Anita,Iyer,anita.iyer28@gmail.com,9492763715,Female,54,R004,2025-06-11
CUS098,Gopal,Joshi,gopal.joshi14@gmail.com,9553860863,Male,28,R005,2024-11-21
CUS099,Bhavana,Joshi,bhavana.joshi29@gmail.com,8580089234,Female,58,R005,2024-09-26
CUS100,Pooja,Reddy,pooja.reddy17@gmail.com,9536456903,Female,25,R001,2025-08-14
CUS101,Meena,Nair,meena.nair44@gmail.com,9208756953,Female,59,R005,2023-02-17
CUS102,Vijay,Ghosh,vijay.ghosh52@gmail.com,8990872183,Male,53,R002,2025-12-19
CUS103,Manoj,Khan,manoj.khan34@gmail.com,9508690449,Male,20,R005,2022-04-13
CUS104,Manoj,Sharma,manoj.sharma1@gmail.com,8496508375,Male,48,R002,2025-07-11
CUS105,Prakash,Mehta,prakash.mehta10@gmail.com,7457250952,Male,48,R001,2025-12-24
CUS106,Rahul,Bose,rahul.bose40@gmail.com,9790482362,Male,45,R001,2022-03-28
CUS107,Manoj,Sharma,manoj.sharma98@gmail.com,7901019231,Male,42,R004,2025-05-13
CUS108,Manju,Singh,manju.singh28@gmail.com,8822682689,Female,25,R002,2025-09-24
CUS109,Pankaj,Reddy,pankaj.reddy97@gmail.com,7972651098,Male,31,R005,2024-07-25
CUS110,Deepak,Mishra,deepak.mishra25@gmail.com,9277310035,Male,45,R001,2023-12-25
CUS111,Neha,Singh,neha.singh32@gmail.com,8677910834,Female,21,R005,2022-09-07
CUS112,Kiran,Iyer,kiran.iyer72@gmail.com,8709167189,Female,55,R004,2022-03-01
CUS113,Pankaj,Mehta,pankaj.mehta66@gmail.com,9707250023,Male,41,R002,2025-12-24
CUS114,Pooja,Mishra,pooja.mishra82@gmail.com,7175176266,Female,25,R004,2025-10-16
CUS115,Manoj,Gupta,manoj.gupta31@gmail.com,8227758145,Male,49,R005,2023-06-18
CUS116,Meena,Bose,meena.bose11@gmail.com,9674259562,Female,58,R005,2023-04-25
CUS117,Sunita,Verma,sunita.verma60@gmail.com,9968279209,Female,32,R004,2022-12-03
CUS118,Kavita,Bose,kavita.bose87@gmail.com,7522606563,Female,47,R004,2023-02-19
CUS119,Suresh,Nair,suresh.nair28@gmail.com,7754951068,Male,31,R005,2025-11-03
CUS120,Deepak,Patel,deepak.patel32@gmail.com,8866033366,Male,41,R004,2022-06-22
